Diameter,Type
9,Lymphocytes
6.3,Lymphocytes
8.6,Lymphocytes
7.4,Lymphocytes
8.8,Lymphocytes
9.4,Lymphocytes
5.7,Lymphocytes
7,Lymphocytes
8.7,Lymphocytes
5.2,Lymphocytes
4.7,Lymphocytes
5,Lymphocytes
6.8,Lymphocytes
4.9,Lymphocytes
7.1,Lymphocytes
4.8,Lymphocytes
3.5,Lymphocytes
7.1,Lymphocytes
7.4,Lymphocytes
5.3,Lymphocytes
8.9,Lymphocytes
7.8,Lymphocytes
5.7,Lymphocytes
6.4,Lymphocytes
4.7,Lymphocytes
4.9,Lymphocytes
10.4,Lymphocytes
7.6,Lymphocytes
7.1,Lymphocytes
8.4,Lymphocytes
8.4,Lymphocytes
8,Lymphocytes
6.2,Lymphocytes
6.3,Lymphocytes
6.4,Lymphocytes
5.9,Lymphocytes
8,Lymphocytes
7.1,Lymphocytes
8.8,Lymphocytes
8.3,Lymphocytes
12.6,Tumor Cells
16.7,Tumor Cells
20,Tumor Cells
17.7,Tumor Cells
16.3,Tumor Cells
14.6,Tumor Cells
15.9,Tumor Cells
17.8,Tumor Cells
15.1,Tumor Cells
17.7,Tumor Cells
16.2,Tumor Cells
15.8,Tumor Cells
13.9,Tumor Cells
16.9,Tumor Cells
18.1,Tumor Cells
23.9,Tumor Cells
16,Tumor Cells
22.1,Tumor Cells
16.4,Tumor Cells
24.3,Tumor Cells
23.3,Tumor Cells
17.9,Tumor Cells
13.9,Tumor Cells
22.8,Tumor Cells
11.2,Tumor Cells
17.1,Tumor Cells
13.4,Tumor Cells
18.3,Tumor Cells
19.4,Tumor Cells
19.5,Tumor Cells
20,Tumor Cells
19.1,Tumor Cells
22.8,Tumor Cells
19.6,Tumor Cells
18.6,Tumor Cells
21,Tumor Cells
16.6,Tumor Cells
13,Tumor Cells
18.4,Tumor Cells
16.4,Tumor Cells
19.1,Tumor Cells
18.9,Tumor Cells
17.9,Tumor Cells
18.2,Tumor Cells
16.1,Tumor Cells
19.4,Tumor Cells
18.7,Tumor Cells
15.2,Tumor Cells
20.7,Tumor Cells
21.5,Tumor Cells
